t,yearvec,births.new,births.cumulative,births.cbr,deaths.new,deaths.cumulative,deaths.cmr,seir.n_susceptible,seir.n_infected,seir.n_exposed,seir.n_recovered,seir.prevalence,seir.new_infections,seir.cum_infections,n_alive,new_deaths,cum_deaths
2022.916666666664,2022.916666666664,60.0,2104.0,27.404559814257983,22.0,611.0,10.04833859856126,4387.0,4067.0,5225.0,12596.0,0.35367106915845165,723.0,22350.0,26273.0,33.0,798.0
2022.9999999999973,2022.9999999999973,60.0,2164.0,27.373303425464776,18.0,629.0,8.211991027639433,3793.0,4080.0,5257.0,13175.0,0.3549785195605064,653.0,23003.0,26303.0,30.0,831.0
2023.0833333333305,2023.0833333333305,60.0,2224.0,27.331738981892723,11.0,640.0,5.010818813346999,3338.0,4094.0,5155.0,13758.0,0.3510989636715636,514.0,23517.0,26343.0,20.0,861.0
2023.1666666666638,2023.1666666666638,60.0,2284.0,27.298578199052134,18.0,658.0,8.189573459715639,2934.0,4071.0,5075.0,14297.0,0.3467677725118483,464.0,23981.0,26375.0,28.0,881.0
2023.249999999997,2023.249999999997,60.0,2344.0,27.265497784678306,16.0,674.0,7.270799409247548,2678.0,4085.0,4822.0,14824.0,0.33729692884462453,314.0,24295.0,26407.0,28.0,909.0
2023.3333333333303,2023.3333333333303,60.0,2404.0,27.228378020648186,15.0,689.0,6.807094505162047,2545.0,3999.0,4514.0,15387.0,0.32193775290246945,192.0,24487.0,26443.0,24.0,937.0
2023.4166666666636,2023.4166666666636,60.0,2464.0,27.195467422096318,19.0,708.0,8.611898016997168,2556.0,3968.0,4057.0,15896.0,0.3031161473087819,49.0,24536.0,26475.0,28.0,961.0
2023.4999999999968,2023.4999999999968,60.0,2524.0,27.16263628475497,21.0,729.0,9.506922699664239,2613.0,3850.0,3692.0,16354.0,0.2845286150828083,0.0,24536.0,26507.0,28.0,989.0
2023.58333333333,2023.58333333333,60.0,2584.0,27.134996608125423,22.0,751.0,9.949498756312655,2613.0,3691.0,3426.0,16806.0,0.268221903972262,60.0,24596.0,26534.0,33.0,1017.0
2023.6666666666633,2023.6666666666633,60.0,2644.0,27.098231087692888,17.0,768.0,7.677832141512984,2522.0,3532.0,3289.0,17229.0,0.25671810312382387,150.0,24746.0,26570.0,24.0,1050.0
2023.7499999999966,2023.7499999999966,61.0,2705.0,27.511557109031457,20.0,788.0,9.020182658698838,2354.0,3386.0,3256.0,17613.0,0.24963355507949037,229.0,24975.0,26607.0,24.0,1074.0
2023.8333333333298,2023.8333333333298,61.0,2766.0,27.473352349497073,15.0,803.0,6.75574238102387,2171.0,3229.0,3234.0,18012.0,0.24256868338087376,243.0,25218.0,26644.0,24.0,1098.0
2023.916666666663,2023.916666666663,61.0,2827.0,27.432169090091442,19.0,822.0,8.544446110028481,1999.0,3127.0,3182.0,18378.0,0.2364338180182881,233.0,25451.0,26684.0,21.0,1122.0
