year,county,n_alive
2027,Baringo,812038.024887832
2027,Bomet,1004452.04860918
2027,Bungoma,1931043.36838762
2027,Busia,1062064.00541377
2027,"Elgeyo-
Marakwet",529941.411373718
2027,Embu,681078.221590436
2027,Garissa,1037535.21908674
2027,Homa Bay,1350359.31322443
2027,Isiolo,352754.053049539
2027,Kajiado,1420310.18400956
2027,Kakamega,2177051.40491296
2027,Kericho,1021468.60292539
2027,Kiambu,2913309.51908889
2027,Kilifi,1720246.59919862
2027,Kirinyaga,680010.965537888
2027,Kisii,1408733.87697776
2027,Kisumu,1353406.80435597
2027,Kitui,1302591.63511601
2027,Kwale,1054918.63996807
2027,Laikipia,614801.827106645
2027,Lamu,188383.093461555
2027,Machakos,1562944.43018418
2027,Makueni,1100779.58523981
2027,Mandera,1091634.22412405
2027,Marsabit,577127.222840499
2027,Meru,1726210.47998959
2027,Migori,1380088.53997909
2027,Mombasa,1457023.34617233
2027,Murang'a,1172461.00861467
2027,Nairobi City,5190067.78805068
2027,Nakuru,2591158.00577712
2027,Nandi,1027239.88645365
2027,Narok,1466751.89861812
2027,Nyamira,678866.288211548
2027,Nyandarua,758088.029670202
2027,Nyeri,877160.811046691
2027,Samburu,395939.226981054
2027,Siaya,1156946.42086133
2027,Taita-Taveta,386134.048287354
2027,Tana River,396513.52353333
2027,Tharaka-Nithi,438375.016615433
2027,Trans-Nzoia,1168119.93251566
2027,Turkana,1154352.84506301
2027,Uasin Gishu,1389070.02566807
2027,Vihiga,652614.561949098
2027,Wajir,984664.852404064
2027,West Pokot,752902.44610076
2028,Baringo,832203.915090204
2028,Bomet,1021024.48808488
2028,Bungoma,1967277.24234475
2028,Busia,1085963.39001061
2028,"Elgeyo-
Marakwet",538653.683113467
2028,Embu,689134.652475855
2028,Garissa,1065667.29817767
2028,Homa Bay,1380915.96395447
2028,Isiolo,362164.913962555
2028,Kajiado,1459533.57074586
2028,Kakamega,2220841.4697867
2028,Kericho,1039396.61979004
2028,Kiambu,2980749.93980919
2028,Kilifi,1754839.08810208
2028,Kirinyaga,686805.434018036
2028,Kisii,1424822.64269994
2028,Kisumu,1380193.04406625
2028,Kitui,1320835.52598102
2028,Kwale,1083161.38027274
2028,Laikipia,628024.996274752
2028,Lamu,193727.483961242
2028,Machakos,1581393.08131463
2028,Makueni,1115610.16314286
2028,Mandera,1129036.21283979
2028,Marsabit,593396.062342456
2028,Meru,1751187.62111833
2028,Migori,1417289.14250447
2028,Mombasa,1495139.40948944
2028,Murang'a,1187697.46093244
2028,Nairobi City,5317495.58506968
2028,Nakuru,2652453.11204838
2028,Nandi,1046137.06280714
2028,Narok,1514251.20115403
2028,Nyamira,684592.719438921
2028,Nyandarua,773452.257579394
2028,Nyeri,887303.651265775
2028,Samburu,408242.879627824
2028,Siaya,1182496.13593696
2028,Taita-Taveta,391656.85211706
2028,Tana River,407443.458220205
2028,Tharaka-Nithi,443862.631717085
2028,Trans-Nzoia,1193399.83309292
2028,Turkana,1188824.03937168
2028,Uasin Gishu,1424788.29954697
2028,Vihiga,659472.99706976
2028,Wajir,1014214.0346517
2028,West Pokot,772532.569504633
2029,Baringo,853405.939204145
2029,Bomet,1038431.13841924
2029,Bungoma,2005089.10585507
2029,Busia,1111061.85192123
2029,"Elgeyo-
Marakwet",547724.179650524
2029,Embu,697477.816058136
2029,Garissa,1095176.6699374
2029,Homa Bay,1413039.91770729
2029,Isiolo,372043.85522925
2029,Kajiado,1500867.33910247
2029,Kakamega,2266493.32022351
2029,Kericho,1058593.67295781
2029,Kiambu,3051696.74759052
2029,Kilifi,1790455.30090141
2029,Kirinyaga,693882.26293285
2029,Kisii,1441620.89626863
2029,Kisumu,1408316.51334855
2029,Kitui,1339823.80338934
2029,Kwale,1112790.66013873
2029,Laikipia,641726.392649847
2029,Lamu,199324.217519318
2029,Machakos,1600465.76022901
2029,Makueni,1131112.12131449
2029,Mandera,1169850.30210237
2029,Marsabit,610645.827250901
2029,Meru,1777141.77262309
2029,Migori,1456316.21586487
2029,Mombasa,1535473.24360895
2029,Murang'a,1203596.12171592
2029,Nairobi City,5458240.01635604
2029,Nakuru,2716450.75960011
2029,Nandi,1065787.35885625
2029,Narok,1564409.96774806
2029,Nyamira,690674.57773433
2029,Nyandarua,789350.103435168
2029,Nyeri,897757.974393135
2029,Samburu,421203.060980681
2029,Siaya,1209565.74882981
2029,Taita-Taveta,397398.21800795
2029,Tana River,418794.52141286
2029,Tharaka-Nithi,449570.678598856
2029,Trans-Nzoia,1219907.77527388
2029,Turkana,1225323.7817554
2029,Uasin Gishu,1463163.41926923
2029,Vihiga,666657.3803148
2029,Wajir,1045371.18166457
2029,West Pokot,793138.204080539
2030,Baringo,875717.317843711
2030,Bomet,1056724.31094348
2030,Bungoma,2044564.93257991
2030,Busia,1137431.46966131
2030,"Elgeyo-
Marakwet",557165.978502771
2030,Embu,706117.96222979
2030,Garissa,1126158.10288669
2030,Homa Bay,1446819.57273885
2030,Isiolo,382420.488590035
2030,Kajiado,1544465.58032115
2030,Kakamega,2314107.31208065
2030,Kericho,1079178.48289111
2030,Kiambu,3126314.23465338
2030,Kilifi,1827136.14775676
2030,Kirinyaga,701247.977846585
2030,Kisii,1459166.24005939
2030,Kisumu,1437869.8999741
2030,Kitui,1359584.94690435
2030,Kwale,1143884.28525806
2030,Laikipia,655925.958959412
2030,Lamu,205188.694125189
2030,Machakos,1620184.71933714
2030,Makueni,1147315.88868586
2030,Mandera,1214480.81580897
2030,Marsabit,628946.507680329
2030,Meru,1804111.5751702
2030,Migori,1497293.83672826
2030,Mombasa,1578158.13712303
2030,Murang'a,1220178.88907766
2030,Nairobi City,5614255.83532303
2030,Nakuru,2783298.62580194
2030,Nandi,1086224.50987808
2030,Narok,1617403.29781866
2030,Nyamira,697128.003552904
2030,Nyandarua,805804.802453268
2030,Nyeri,908535.751649796
2030,Samburu,434862.267577119
2030,Siaya,1238271.23336609
2030,Taita-Taveta,403367.459525177
2030,Tana River,430584.317304074
2030,Tharaka-Nithi,455509.444481398
2030,Trans-Nzoia,1247714.46559136
2030,Turkana,1263996.4128985
2030,Uasin Gishu,1504462.5570086
2030,Vihiga,674182.32095502
2030,Wajir,1078238.82326513
2030,West Pokot,814771.748692132
